,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
0,100008547,Evaluering av arbeidsledertrening : noen hovedaspekter av evalueringsproblematikken,"Kile , Svein M.",URN:NBN:no-nb_digibok_2008052200068,oai:nb.bibsys.no:997560155884702202,c172c422a44f19c5b24354407856f9b9,,Bergen,19660101,1966,Universitetsforl.,nob,,658.3,,Faglitteratur,digibok
1,100218322,Evaluering av ledertrening : en undersøkelse over Forsikringsskolens 6. kurs i administrasjon,"Kile , Svein M.",URN:NBN:no-nb_digibok_2014080508062,oai:nb.bibsys.no:998330652544702202,d95dd9c167e4cfed527fa62d7826ce43,,Bergen,19690101,1969,"Forsikringsskolen, Oslo",nob,metoder / ledere / utvikling,658.3,,Faglitteratur,digibok
2,100061695,Evaluering av et tillitsmannkurs i samarbeidsforhold,"Raaberg , Terje",URN:NBN:no-nb_digibok_2011103108023,oai:nb.bibsys.no:999419619234702202,486861f4e26d1e35de50572ffa004d53,,Oslo,19700101,1970,AOF,nob,,,,Uklassifisert,digibok
3,100082446,Skatten i evaluering av veginvesteringer,"Andersen , Bjørn",URN:NBN:no-nb_digibok_2012021509037,oai:nb.bibsys.no:999521438444702202,2e2c65e8ae12d7511c5bc3db8da8e5cd,,[Oslo],19700101,1970,,nob,,,,Uklassifisert,digibok
4,100084676,"Evaluering av forsøk i lærerskolen : rapport fra seminar på Røros turisthotell, 24.-27. november 1971",,URN:NBN:no-nb_digibok_2012032109012,oai:nb.bibsys.no:990706960714702202,051a2fcdf7108fdb44830a90aed5b1ac,,Oslo,19710101,1971,Forsøksrådet for skoleverket,mul / nob / nno,,,,Uklassifisert,digibok
5,100573588,Virker det? : evaluering av bedriftsopplæring,"Kile , Svein M.",URN:NBN:no-nb_digibok_2007071204057,oai:nb.bibsys.no:997560134024702202,9eecf0b2bbb8fd951d051672f17bc302,,Oslo,19710101,1971,Universitetsforl.,nob,,658.3,,Faglitteratur,digibok
6,100073506,"Evaluering av et kurs i administrasjon og lederopplæring. A : En undersøkelse av forandring i prestasjonsmotiv, maktmotiv og autoritær personlighet under et kurs","Finstad , Nils",URN:NBN:no-nb_digibok_2012020208156,oai:nb.bibsys.no:999114435254702202,31ef34667e55dfc8f284879e2c64dcba,,[Bergen],19720101,1972,,nob,,,,Uklassifisert,digibok
7,100075068,Rapport om evaluering av Simrad sonar dataskjerm på operativt snurpefartøy,"Olsen , Kjell",URN:NBN:no-nb_digibok_2012013108010,oai:nb.bibsys.no:990009930854702202,3c974229327c04b72b33a7cd937d8cd1,8271450093,Bergen,19720101,1972,Fiskeridirektoratets havforskningsinstitutt,nob,sonarsystem / dopplerlogg / navigasjonsdata / undervannskart / fiskeatferd / fangstteknologi,639.2,,Faglitteratur,digibok
8,100079065,Evaluering av forsøk i lærerskolen : modell-forsøk og videreutdanning (tre rapporter) : I. beskrivelse og vurdering av evalueringsprosjektet,,URN:NBN:no-nb_digibok_2012021608118,oai:nb.bibsys.no:999701526044702202,1319b9cc6787d364a619e11734b2f4ac,,Oslo,19720101,1972,Forsøksrådet,nob,,,,Uklassifisert,digibok
9,100084389,Evaluering av forsøk i lærerskolen : modell-forsøk og videreutdanning (tre rapporter) : II. modell-forsøk,,URN:NBN:no-nb_digibok_2012030508077,oai:nb.bibsys.no:999701518884702202,f72ba77d97f2b114216c71a74ba3582e,8255200428,Oslo,19720101,1972,Forsøksrådet,nob,,,,Uklassifisert,digibok
10,100446638,Evaluering av forsøk i lærerskolen : forsøk med nye administrasjonsordninger,,URN:NBN:no-nb_digibok_2009010700056,oai:nb.bibsys.no:999508607354702202,e477926cb0a67a87487e1765b1abf0e6,,Oslo,19720101,1972,Forsøksrådet,nob,lærerutdanning / forsøks / utviklingsarbeid,370.7,,Faglitteratur,digibok
11,100556708,Evaluering av et kurs i administrasjon og lederopplæring. B : En undersøkelse av interaksjonen mellom den enkelte kursdeltaker og kurset,"Finstad , Nils",URN:NBN:no-nb_digibok_2012042708057,oai:nb.bibsys.no:999114436224702202,d78777e9a68083cc9276acfc42a9a064,,[Bergen],19720101,1972,,nob,,,,Uklassifisert,digibok
12,100070350,Evaluering av forsøk i lærerskolen : modell-forsøk og videreutdanning (tre rapporter) - III Videreutdanning,,URN:NBN:no-nb_digibok_2012052305004,oai:nb.bibsys.no:999508656564702202,597a1c7192aac6ca07421581a1f487f6,8255200606,Oslo,19730101,1973,Forsøksrådet,nob,lærerutdanning / forsøks / utviklingsarbeid,,,Uklassifisert,digibok
13,100085109,"Evaluering av tidsskriftbestanden i botanikk ved Det Kongelige norske videnskabers selskab, Biblioteket : en sitatanalyse","Knudsen , Kari Vik",URN:NBN:no-nb_digibok_2012041008105,oai:nb.bibsys.no:998021150204702202,724e1c24653dfce1873123a88ab22d39,8271130072,[Trondheim],19730101,1973,,nob,,025.2 / 580.5,,Faglitteratur,digibok
14,100121077,Evaluering av norsk bistand / Eskild Jensen,"Jensen , Eskild",URN:NBN:no-nb_digibok_2012111406283,oai:nb.bibsys.no:998121195174702202,1627930591918264a266e8891943e3a9,,Oslo,19740101,1974,,nob,evaluering,338.91,,Faglitteratur,digibok
15,100161354,Organisasjonsutvikling i en norsk kommuneadministrasjon : prosjektbeskriv else og forsøk på evaluering av et organisasjonsutviklingsprosjekt i Sandefjord kommune,,URN:NBN:no-nb_digibok_2013080606082,oai:nb.bibsys.no:999413624504702202,cb68cb89f2b95068b7f6e30486c64ad2,,Oslo,19740101,1974,,nob,offentlig / forvaltning / kommunalforvaltning / ledelse,,,Uklassifisert,digibok
16,100296060,Stovner helse- og sosialsenter : evaluering av driften 1972-74,,URN:NBN:no-nb_digibok_2016052608120,oai:nb.bibsys.no:997920383394702202,2d966374bac6098ec50b6176b7430a65,,,19750101,1975,Sentret,nob,,362,,Faglitteratur,digibok
17,100158924,Evaluering av kurs for ledere i mindre bedrifter. 1,"Busch , Tor",URN:NBN:no-nb_digibok_2013071606087,oai:nb.bibsys.no:998120178384702202,f1eca204ae5ff50f3a12e5f299cdee65,8271840088,Lillehammer,19760101,1976,Høgskolen,nob,,,,Uklassifisert,digibok
18,100171709,Evaluering av kurs for ledere i mindre bedrifter. 2,"Busch , Tor",URN:NBN:no-nb_digibok_2013091706160,oai:nb.bibsys.no:998120178464702202,b796ce3b69b8b398530a3b447997e2a3,8271840096,Lillehammer,19760101,1976,Høgskolen,nob,,,,Uklassifisert,digibok
19,100177571,Standardspørreskjema til elever som ledd i evaluering av brevkurs : noen refleksjoner og et forsøk,"Ljoså , Erling / Bolstad , Ole",URN:NBN:no-nb_digibok_2013102407219,oai:nb.bibsys.no:990702042764702202,14bdf6a6af058574fa87826f0eb92780,,[Oslo],19760101,1976,Norsk korrespondanseskole,nob,,,,Uklassifisert,digibok
20,100246052,Evaluering av nære turområder : et modellstudie fra Åsane basert på de naturgitte forhold,"Elvestad , Siri",URN:NBN:no-nb_digibok_2015042008145,oai:nb.bibsys.no:999219110414702202,7c1e9d17cefc1b4dc6a7d36653e4ab92,,Bergen,19760101,1976,[S. Elvestad],nob,hovedoppgave / geografi,914.837,,Faglitteratur,digibok
21,100265476,"Evaluering av sykehusbygg : planlegging, økonomi, kvalitet","Bergsland , Knut H. / Wang , Erik / Seterelv , William",URN:NBN:no-nb_digibok_2015072908200,oai:nb.bibsys.no:999306758784702202,032627b832d91c951a58e415ed1dd6fd,8259506645,[Trondheim],19760101,1976,Norsk institutt for sykehusforskning,nob,helseinstitusjoner / sykehus / sykehusbygg / evaluering,,,Uklassifisert,digibok
22,100289440,Evaluering av sykehusbygg forprosjekt for Bærum nye sykehus : økonomi og kvalitet,"Bergsland , Knut H.",URN:NBN:no-nb_digibok_2016040508169,oai:nb.bibsys.no:990603951764702202,7d626715205be0cc65cfb41b02438481,8259506726,[Trondheim],19760101,1976,Norsk Institutt for Sykehusforskning,nob,helseinstitusjoner / sykehus / sykehusbygg / evaluering,,,Uklassifisert,digibok
23,100126666,Nesodden-prosjektet : evaluering av driften 1975-76,"Tønnesen , Kåre",URN:NBN:no-nb_digibok_2012120508110,oai:nb.bibsys.no:999427864834702202,075840d41e48b192cba5798a8c1843be,,[Oslo],19770101,1977,[s.n.],nob,helsesentre / sosialsentre,,,Uklassifisert,digibok
24,100089388,Evaluering av et problemorientert og deltakerstyrt undervisningsopplegg i faget pedagogisk teori og praksis ved Eik lærerskole,"Bjørknes , Oddvar / Vinje , Inge",URN:NBN:no-nb_digibok_2012071108100,oai:nb.bibsys.no:999211147884702202,d1cfb319a920cf8ddd685e2eb437a348,,Oslo,19780101,1978,Universitetet i Oslo,nob,hovedoppgave / pedagogikk / sosialpedagogikk,,,Uklassifisert,digibok
25,100241046,Evaluering av kurs for ledere i mindre bedrifter : prøveprosjekt i Lofoten høsten 1977,"Hildonen , Johan / Jørgensen , Per",URN:NBN:no-nb_digibok_2015012709017,oai:nb.bibsys.no:999206010814702202,4a5b0dc590b7141463b84e62fff44d38,,Bodø,19780101,1978,[Nordland distriktshøgskole],nob,bedriftsøkonomi,658,,Faglitteratur,digibok
26,100135826,"Psykologers evaluering av embedsstudiet i Bergen : eller ""noe må gjøres""","Kvale , Gerd / Ørnholt , Nina",URN:NBN:no-nb_digibok_2013020409028,oai:nb.bibsys.no:998440213774702202,2beadd283683d4bf6314c3f977c25b50,,Bergen,19790101,1979,,nob,graduate-psychology-education,,,Uklassifisert,digibok
27,100094933,"Barne- og ungdomspsykiatri i Sogn og Fjordane : behov og ressurser : evaluering av tiltak. Del 2 : Ressurser, arbeidsformer, evaluering","Kolstad , Arnulf / Amundsen , Lars / Østensen , Rita",URN:NBN:no-nb_digibok_2012072008081,oai:nb.bibsys.no:999807668934702202,552b858e4cef4f5daadd2f188b33a804,,Bergen,19800101,1980,[s.n.],nob,barne- / ungdomspsykiatri / barnepsykiatri / sogn / fjordane,,,Faglitteratur,digibok
28,100105418,Nye metoder i den uniformerte patruljetjeneste : En evaluering av prøveprosjektene ved Oslo og Kristiansand politikamre,"Lorentzen , Håkon",URN:NBN:no-nb_digibok_2012082109553,oai:nb.bibsys.no:999903751534702202,1bb5a248bc153e1e9830dc4050cfdfd9,,Oslo,19800101,1980,Dept.,nob,politi / politioppgaver,,,Faglitteratur,digibok
29,100119813,"Barne- og ungdomspsykiatri i Sogn og Fjordane : behov og ressurser : evaluering av tiltak. Del 1 : Fylket, hjelpeapparatet, epidemiologiske undersøkelser","Kolstad , Arnulf / Østensen , Rita / Amundsen , Lars",URN:NBN:no-nb_digibok_2012110708058,oai:nb.bibsys.no:999807667614702202,a57194628a39f87f64b3bd813eb52eaa,,Bergen,19800101,1980,[s.n.],nob,barne- / ungdomspsykiatri / barnepsykiatri / sogn / fjordane,,,Uklassifisert,digibok
30,100240372,Evaluering av forsøket med pedagogisk tilbod for 6-åringar,"Haug , Peder",URN:NBN:no-nb_digibok_2015013009015,oai:nb.bibsys.no:990110037404702202,9726d1b140d649effa6773b7c7813871,,Volda,19800101,1980,Møreforskning,nno,overgang / barnehage / skole / seksåringer,,,Uklassifisert,digibok
31,100241694,Evaluering av regnskapskvalitet i relasjon til bedriftenes egenkompetanse og tilgang på ekstern bistand : prosjektbeskrivelse og erfaringer fra forprosjektet,"Gabrielsen , Reidar",URN:NBN:no-nb_digibok_2015020308017,oai:nb.bibsys.no:998120852644702202,a1ff6ce251172f64fc372853b35b5092,,Bodø,19800101,1980,Nordland distriktshøgskole,nob,Regnskapsvesen / regnskapskvalitet,657,,Faglitteratur,digibok
32,100244538,Evaluering av innhaldet i eit utval kommunale helse- og sosialplanar,"Lingås , Lars Gunnar",URN:NBN:no-nb_digibok_2015031808090,oai:nb.bibsys.no:991505464404702202,ddcb27efd5666d99699c0c6a2c903a42,,Oslo,19800101,1980,Sosialdepartementet,nob,,,,Uklassifisert,digibok
33,100447923,Evaluering av innholdet i et utvalg kommunale planer,"Lingås , Lars Gunnar",URN:NBN:no-nb_digibok_2008053004032,oai:nb.bibsys.no:998520590004702202,6a2dd50bf0f57fd573e1f4b75a664777,,Oslo,19800101,1980,Sosialdepartementet,nob,regionalplanlegging / regionalpolitikk / kommunalforvaltning / evaluering,352.4,,Faglitteratur,digibok
