,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
0,100007286,Utredning om svømming som obligatorisk fag i skolen,,URN:NBN:no-nb_digibok_2008052004047,oai:nb.bibsys.no:999407749174702202,b12e041f6d5efe570321a2cd2831bb30,,[Oslo],19600101,1960,STUI,nob,svømming / gymnastikk,375.7972,,Faglitteratur,digibok
1,100322328,Om barne- og ungdomskriminaliteten i Norge : en utredning,"Sveri , Knut",URN:NBN:no-nb_digibok_2017012048108,oai:nb.bibsys.no:999426539634702202,6461b2a08764685bdb876e9c03bb3619,,,19600101,1960,,nob,barn / ungdom / kriminalitet / ungdomskriminalitet / årsaker / Norge / straff,,,Uklassifisert,digibok
2,100345166,Forslag til kurs i audio-visuell undervisning ved lærerskolene : Med en del meninger og utredninger om noen av problemene i samband med effektivt audio-visuelt arbeid,"Berg , Halvor",URN:NBN:no-nb_digibok_2017082409504,oai:nb.bibsys.no:990302617404702202,03f5161e849cfcd74cd1ce4b57214790,,Eik,19600101,1960,"H. Berg, Eik pr Tønsberg",nob,,371.3,,Faglitteratur,digibok
3,100422742,Utredning om tömmertilgangen og skogindustrien i Trønderlag og Helgeland i relasjon til undersøkelsene om behovet for en ny treforedlingsindustri nordenfjells,,URN:NBN:no-nb_digibok_2020102109043,oai:nb.bibsys.no:999919977002102202,6e9b7e02fc30ea460fadce0833f2a2c7,,Namsos,19600101,1960,,nob,,,,Uklassifisert,digibok
4,100131344,Motorvei E6 gjennem Fredrikstad Sarpsborg region : En utredning,,URN:NBN:no-nb_digibok_2013011606107,oai:nb.bibsys.no:990230381874702202,fab78bcb96d2ba3c329f91dff0b4193d,,Fredrikstad,19610101,1961,,nob,,,,Uklassifisert,digibok
5,100192348,Innstilling fra Utvalget for utredning av spørsmålet om Norges hjelp til utviklingslandene,,URN:NBN:no-nb_digibok_2014021805038,oai:nb.bibsys.no:990703967444702202,ea94ba46951f6faad34d9700fc8dc93e,,Oslo,19610101,1961,Utenriksdepartementet,nob,,,,Uklassifisert,digibok
6,100316688,"Den driftsøkonomiske virkning av overgang til andelsfjøs : utredning i forbindelse med planene om andelsfjøs på Nes, Hedmark","Elstrand , Eivind",URN:NBN:no-nb_digibok_2016112908078,oai:nb.bibsys.no:999623292074702202,b3023c157e3be76add5caf11a867e4fa,,,19610101,1961,,nob,,631.1,,Faglitteratur,digibok
7,100317188,Innstilling fra Utvalget for utredning av spørsmålet om Norges hjelp til utviklingslandene,,URN:NBN:no-nb_digibok_2016112908020,oai:nb.bibsys.no:990301235264702202,42194ef83f83d1e8bb3b9cf4e2672ad1,,Oslo,19610101,1961,,nob,,338.91,,Faglitteratur,digibok
8,100345177,Et norsk eller nordisk fredskorps : utredning,"Grahl-Madsen , Atle / Vogt , Edvard",URN:NBN:no-nb_digibok_2017082409522,oai:nb.bibsys.no:999430383754702202,2fab94873e91db556c00d2aa2da41eb1,,Bergen,19610101,1961,Foreningen for flyktninge- og utviklingshjelp,nob,"fredskorps / nordisk / foreningen / ""svalene"" / lokale / myndigheter / samvirke / konfliktløsning / internasjonalt / samarbeid / organisasjon / finansiering",,,Uklassifisert,digibok
9,100351173,Innstilling fra utvalget til utredning av evalueringsspörsmål i 9-årig skole : (utvalget oppnevnt av Forsöksrådet for skoleverket 19. november 1960),"Gjessing , Hans-Jørgen",URN:NBN:no-nb_digibok_2017101308031,oai:nb.bibsys.no:990215859034702202,a2ffca456e9014da6dafa98c23112c62,,Oslo,19610101,1961,Skrivemaskinstua,nob,,372.9,,Faglitteratur,digibok
10,100109038,Utredning av kunstens og kulturlivets vilkår,"Jensen , Brikt",URN:NBN:no-nb_digibok_2012082809004,oai:nb.bibsys.no:990903068564702202,ffa43b4321fbec575c9bce4f9692feec,,Oslo,19620101,1962,,nob,,,,Uklassifisert,digibok
11,100149478,Pengeordning og pengepolitikk : utvalgte deler av utredninger,,URN:NBN:no-nb_digibok_2013060608162,oai:nb.bibsys.no:990012406094702202,6379b06d2c3349975a1243106486e88d,,Bergen,19620101,1962,,nob,,332,,Faglitteratur,digibok
12,100209743,Innstilling fra utredningsutvalget for fiskesubsidiene,"Gjelsvik , Øystein",URN:NBN:no-nb_digibok_2014061206171,oai:nb.bibsys.no:999826160314702202,83121f3371cee4d214b951ad938cc062,,[S.l.],19620101,1962,[s.n.],nob,,,,Uklassifisert,digibok
13,100210530,Innstilling fra utvalget til utredning av fiskernes pensjons- og trygdeforhold,,URN:NBN:no-nb_digibok_2014061206172,oai:nb.bibsys.no:999826161394702202,fdb2849850090e46025afd6054061cc2,,[S.l.],19620101,1962,[s.n.],nob,,,,Uklassifisert,digibok
14,100256191,Utredningsmateriale om norsk utenriksøkonomi,,URN:NBN:no-nb_digibok_2015062908102,oai:nb.bibsys.no:999222804284702202,ac2773c1899708f9d9adea0985a66dd8,,Bergen,19620101,1962,NHH,nob,,330.9481,,Faglitteratur,digibok
15,100290903,Oversikter og utredninger vedrørende de europeiske markedsproblemer : tillegg II til St. meld. nr. 15 for 1961-62,,URN:NBN:no-nb_digibok_2016042648058,oai:nb.bibsys.no:999714970284702202,127db80f1b50758c86e23957301098d2,,<Oslo>,19620101,1962,,nob,,,,Uklassifisert,digibok
16,100301703,Utredning om nødvendige arealer for leiligheter,"Christensen , Kaare B.",URN:NBN:no-nb_digibok_2016070508035,oai:nb.bibsys.no:990311542984702202,4c07ce0c3933c04f9256496715fb142a,,Oslo,19620101,1962,"Bolligdirektoratet, Boligkonoret",nob,,,,Uklassifisert,digibok
17,100323633,Utdanningen av sosialarbeidere i Norge : utredning og forslag,"Lund , Bernt H.",URN:NBN:no-nb_digibok_2017020148142,oai:nb.bibsys.no:999312969194702202,d57a2e823912a93e6274977b653ba422,,[Oslo],19620101,1962,Kirke- og undervisningsdep.,nob,,,,Uklassifisert,digibok
18,100329681,Utredning fra Telegrafstyret om private TV-frekvensomformere og reléforsterkere i fjernsynutbyggingen,,URN:NBN:no-nb_digibok_2017021008013,oai:nb.bibsys.no:990229767014702202,5910f55f1dd0150b0bfc6319d868a533,,Oslo,19620101,1962,,nob,Frekvensomformere,621.388,,Faglitteratur,digibok
19,100160135,Lønnsglidningen 1950-1962 : en utredning av LO's og NAF's lønnsglidningskomité,"Ahlsen , Egil",URN:NBN:no-nb_digibok_2013072208251,oai:nb.bibsys.no:990219015114702202,21e47712bcd2c4716a2998bb8a31a6d6,,Oslo,19630101,1963,[s.n.],nob,,,,Uklassifisert,digibok
20,100282862,"Innstilling fra Utvalget for å utrede de praktiske og økonomiske sider ved opprettelse av et norsk fredskorps : også spørsmålet om ""junioreksperter"" tas med i utredningen : nedsatt av Norsk utviklingshjelp den 29. juni 1962",,URN:NBN:no-nb_digibok_2016030209054,oai:nb.bibsys.no:990007690614702202,d49b2781004ff4cbbbb5ca07154da2fc,,Oslo,19630101,1963,Utvalget,nob,,,,Uklassifisert,digibok
21,100291242,Innstilling fra Utvalget til utredning av spørsmålet om sammenslåing av de eksisterende salgsorganisasjoner for førstehåndsomsetningen av sild i Sør-Norge,,URN:NBN:no-nb_digibok_2016042108242,oai:nb.bibsys.no:990827918564702202,b225a1e1fd0f23f04afee8c6eebb0594,,,19630101,1963,,nob,,,,Uklassifisert,digibok
22,100327823,Rådmann Sig. Pedersens utredning om Hamar kommunes utvikling i tidsrommet 1. juli 1935 til 31. desember 1961,"Pedersen , Sigurd",URN:NBN:no-nb_digibok_2017030708020,oai:nb.bibsys.no:990228324244702202,45091f47154aecef0ba9e619520783bd,,[Hamar],19630101,1963,,nob,,,,Uklassifisert,digibok
23,100333715,Utredning fremlagt av Komite for regulering i kraftnett. D. 2,,URN:NBN:no-nb_digibok_2017020908035,oai:nb.bibsys.no:990229826394702202,795ce00f887047106f41667748c7965d,,Trondheim,19630101,1963,,nob,,,,Uklassifisert,digibok
24,100355984,Motorveg E6 over Glomma : utredning om hovedvegsystem i Sarpsborg-Fredrikstadområdet,,URN:NBN:no-nb_digibok_2017111709511,oai:nb.bibsys.no:990002543634702202,9b81c963bc74e981691029a933de89e3,,,19630101,1963,Vegdirektoratet,nob,,711,,Faglitteratur,digibok
25,100566016,Skattemeldingen til Stortinget - utredning eller forsvarsskrift?,"Strøm , Harald",URN:NBN:no-nb_digibok_2007050804046,oai:nb.bibsys.no:999401522074702202,ea2a822f1b7d87aff686a062ba3b48d0,,Oslo,19630101,1963,Næringsøkonomisk forskningsinstitutt,nob,juss/økonomi,336.2,,Faglitteratur,digibok
26,100028106,Felleskomitéen LO-DNA til utredning av: Demokrati i arbeidslivet : uttalelser fra LO's og DNA's grunnorganisasjoner,,URN:NBN:no-nb_digibok_2010111706092,oai:nb.bibsys.no:997514074294702202,7a8b747569c853c1836d26126523b8a3,,[S.l.],19640101,1964,[s.n.],nob,Bedriftsdemokrati,,,Uklassifisert,digibok
27,100104120,"Innstilling fra Komiteen til utredning av fremtidig virksomhet ved Arkitektavdelingen, NTH",,URN:NBN:no-nb_digibok_2012082408003,oai:nb.bibsys.no:998311633054702202,70c000ad6c8f1ee17e7225207a6a7f92,,Trondheim,19640101,1964,,nob,,607,,Faglitteratur,digibok
28,100289862,Hva kan vi gjøre for norsk skjønnlitteratur om vi hadde pengene? : utredning om norsk bokproduksjon og distribusjon,"Andenæs , Tønnes",URN:NBN:no-nb_digibok_2016042209013,oai:nb.bibsys.no:990619658124702202,74b20f4e68052a244185af59ec903af1,,Jar,19640101,1964,[s.n.],nob,,,,Uklassifisert,digibok
29,100327832,Mellomriksveg mellom Kiruna og området Narvik -Troms : en næringsgeografisk utredning,,URN:NBN:no-nb_digibok_2017030708030,oai:nb.bibsys.no:990228326704702202,c107b946e6eb7bbfd230f905adeed6ef,,,19640101,1964,Vegdirektoratets statistikkontor,nob,,388,,Faglitteratur,digibok
30,100329134,"Innstilling fra Komiteen til utredning av fremtidig virksomhet ved Bygningsingeniøravdelingen, NTH",,URN:NBN:no-nb_digibok_2017032408016,oai:nb.bibsys.no:998311633724702202,e77c8345e2cbacce7905bea08d7506da,,Trondheim,19640101,1964,,nob,,607,,Faglitteratur,digibok
31,100373755,Forskningsutredning 1964. Bilag 21 : NTNF's forskningsutredning 1964 Teknisk-naturvitenskapelig informasjonstjeneste,,URN:NBN:no-nb_digibok_2018051548501,oai:nb.bibsys.no:999919921075502202,cd5f4a2e13fc6eec4003018ee9915365,,Oslo,19640101,1964,NTNF,nob,teknisk / informasjon / forskning / utredning,,,Uklassifisert,digibok
32,100523291,NTNF's forskningsutredning 1964,,URN:NBN:no-nb_digibok_2010111205007,oai:nb.bibsys.no:999100853584702202,babd8f4ae06f2782bf0c5a36028051cd,,Oslo,19640101,1964,NTNF,nob,forskning / utredning / politikk / norge,,,Uklassifisert,digibok
33,100073666,Innstilling fra Komitéen til utredning av spørsmålet om ytterligere sentralisering av den offentlige statistikk,"Germeten , Gunnar",URN:NBN:no-nb_digibok_2012051808119,oai:nb.bibsys.no:990224255514702202,5edc565747bcec6ad64a705da133fdbf,,[Oslo],19650101,1965,,nob,,,,Uklassifisert,digibok
34,100075791,[Regionplanutredninger]. 2 : Sentralregionen : retningslinjer for byveksten,,URN:NBN:no-nb_digibok_2012052908007,oai:nb.bibsys.no:999314079314702202,21304bc82981e6a2d0e9b6d3a154b14c,,[Haslum],19650101,1965,Andersson & Skjånes,nob,regionplanlegging / oslo / akershus,,,Uklassifisert,digibok
35,100329001,Tokerudområdet : en utredning om reguleringsplanen og grunnlaget for den,"Kobbe , Helene",URN:NBN:no-nb_digibok_2017032248044,oai:nb.bibsys.no:999511858294702202,4db6fc6791c152425399480bb372a53c,,,19650101,1965,[s.n.],nob,,711,,Faglitteratur,digibok
36,100343678,Dalane i Rogaland : en næringsøkonomisk utredning med forslag til utviklingstiltak,,URN:NBN:no-nb_digibok_2017062108017,oai:nb.bibsys.no:999908983854702202,04500fc83c41bcd33a4155ff641fff24,,,19650101,1965,,nob,,330.94834,,Faglitteratur,digibok
