,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
0,100379185,Utredning av program for overvåking av klimaendringseffekter i norske kyst-og havområder,"Mork , Kjell Arne",URN:NBN:no-nb_digibok_2018091805014,oai:nb.bibsys.no:991303287074702202,3f7e7b83f34ee1bc99ffa78879b56f41,,Bergen,20120101,2012,Havforskningsinstituttet,nob,Norway / Monitoring / Coasts / Marine areas / Climatic change / klimaendringer / overvåke / kyst- / hav- / miljøeffekt,,,Uklassifisert,digibok
1,100314498,"Penge, kredit og priser : en utredning av aarsakerne til pengeværdiens fald","Aarum , Thorvald",URN:NBN:no-nb_digibok_2016110848569,oai:nb.bibsys.no:999421106764702202,417f9125ee73790ce6afc88f762b8986,,Kristiania,19180101,1918,,nob,,,,Uklassifisert,digibok
2,100533170,Utredning av praktiske og økonomiske konsekvenser av forslag om at folketrygden vederlagsfritt skal leie ut hjelpemidler til kommunene ved midlertidig behov,"Hofseth , Christina / Hem , Karl-Gerhard / Lippestad , Jan",URN:NBN:no-nb_digibok_2011032305014,oai:nb.bibsys.no:990005888904702202,a91c4a05c0ca4c81da2be8b7ac0b640f,8214020387,Trondheim,20000101,2000,"SINTEF, Unimed, NIS Ledelse, organisasjon og samhandling",nob,hjelpemiddelteknologi,,,Uklassifisert,digibok
3,100160135,Lønnsglidningen 1950-1962 : en utredning av LO's og NAF's lønnsglidningskomité,"Ahlsen , Egil",URN:NBN:no-nb_digibok_2013072208251,oai:nb.bibsys.no:990219015114702202,21e47712bcd2c4716a2998bb8a31a6d6,,Oslo,19630101,1963,[s.n.],nob,,,,Uklassifisert,digibok
4,100375272,Spesialisthelsetjenestens håndtering av henvisninger og utredning av pasienter med tykk- og endetarmskreft : oppsummering av landsomfattende tilsyn i 2012,,URN:NBN:no-nb_digibok_2018062905093,oai:nb.bibsys.no:991321509134702202,6657d4d801a6c087ea5f36874a4d836e,,Oslo,20130101,2013,Helsetilsynet,nob,,,,Uklassifisert,digibok
5,100215689,"Nemndsbehandling av forbrukertvister : utredning av utvalg oppnevnt ved kongelig resolusjon 27. november 2009 : avgitt til Barne-, likestillings- og inkluderingsdepartementet 29. november 2010","Taraldsrud , Liv Synnøve",URN:NBN:no-nb_digibok_2014070205053,oai:nb.bibsys.no:991026232104702202,22e141cd7b90b86c339d484373161a71,,Oslo,20100101,2010,"Departementenes servicesenter, Informasjonsforvaltning",nob,utenrettslig / tvisteløsning / forbrukersaker / tvisteløsningsnemnder / forbrukerorganisasjoner / norge / forbrukere / tvister / forbrukervern / rettigheter / nemnder / forbrukerrådet / norden / skandinavia / bransjenemnder / klagenemnder / eu,343.071,,Faglitteratur,digibok
6,100433379,Norsk skole i møte med autismen - full forståelse eller full fadese? : utredning av tilfellet A,"Uggerud , Ken",URN:NBN:no-nb_digibok_2021012207531,oai:nb.bibsys.no:999919859897302202,9d242141df3ae5d80fc645ea733feb31,,Oslo,20160101,2016,SPISS forl.,nob,Skolen / Rettigheter / Asperger syndrom / Tourettes syndrom / Barns rettigheter / Hjem og skole (Relasjon) / Spesialpedagogikk / Inkludering / Autisme / rettigheter / skole,371.94,,Faglitteratur,digibok
7,100100532,Kulturminner og kulturmiljøer : utredning av forskningsbehov 2004-2014,,URN:NBN:no-nb_digibok_2012081008021,oai:nb.bibsys.no:990309504064702202,082fb81e16387812e1444fd4023d0d43,8212018180,Oslo,20030101,2003,"Norges forskningsråd, Området for miljø og utvikling",nob,Kulturminner / Kulturmiljøer / Kulturminneforskning / Utredninger / Kulturminner / Kulturmiljø / Kulturvern / Kulturpolitikk / Forskning / Norge / Kulturminner / kulturpolitikk / norge / kulturminnevern / politikk / forskning,,,Uklassifisert,digibok
8,100375561,"Ute av syne, ute av sinn? : tobakk under disk - en konsekvensutredning av regjeringens forslag til forbud mot synlig framstilling av tobakksvarer i butikk","Jacobsen , Eivind / Lavik , Randi",URN:NBN:no-nb_digibok_2018050909548,oai:nb.bibsys.no:990717728554702202,22d638e94c2e5e39c02c6f48e0dd1017,,Oslo,20070101,2007,Statens institutt for forbruksforskning,nob,,,,Uklassifisert,digibok
9,100093014,Interkommunalt samarbeid i Nord-Rogaland og Sunnhordland : utredning av et beslutningsgrunnlag for videreutvikling av samarbeidet,"Prestholdt , Ragnar / Sanda , Karl Gunnar / Mo , Willy",URN:NBN:no-nb_digibok_2012070908159,oai:nb.bibsys.no:999607184514702202,6d0ad1378931573f0a761b2c0b8e8a30,8274011600,Bø,19950101,1995,"Telemarksforsking, Bø",nob,,,,Faglitteratur,digibok
